1024	27
2048	49
3072	67
4096	92
5120	108
6144	98
7168	91
8192	105
9216	116
10240	131
11264	141
12288	160
13312	168
14336	182
15360	193
16384	208
17408	218
18432	275
19456	271
20480	297
21504	270
22528	285
23552	294
24576	308
25600	319
26624	348
27648	346
28672	359
29696	369
30720	394
31744	397
32768	411
33792	420
34816	436
35840	446
36864	462
37888	478
38912	488
39936	498
40960	512
41984	877
43008	951
44032	874
45056	940
46080	690
47104	595
48128	625
49152	744
50176	721
51200	709
52224	699
53248	705
54272	700
55296	720
56320	782
57344	808
58368	794
59392	789
60416	830
61440	795
62464	778
63488	795
64512	807
65536	819
66560	828
67584	859
68608	865
69632	874
70656	917
71680	908
72704	917
73728	944
74752	944
75776	997
76800	971
77824	983
78848	998
79872	1011
80896	1024
81920	1038
82944	1050
83968	1063
84992	1083
86016	1091
87040	1104
88064	1128
89088	1130
90112	1144
91136	1191
92160	1174
93184	1187
94208	1199
95232	1211
96256	1229
97280	1237
98304	1258
99328	1266
100352	1281
101376	1297
